Date,High
"January 2, 1990",1.611
"January 3, 1990",1.61
"January 4, 1990",1.6293
"January 5, 1990",1.637
"January 8, 1990",1.653
"January 9, 1990",1.6537
"January 10, 1990",1.662
"January 11, 1990",1.6568
"January 12, 1990",1.6695
"January 16, 1990",1.657
"January 17, 1990",1.6495
"January 18, 1990",1.6445
"January 19, 1990",1.6465
"January 22, 1990",1.639
"January 23, 1990",1.649
"January 24, 1990",1.655
"January 25, 1990",1.6572
"January 26, 1990",1.657
"January 29, 1990",1.678
"January 30, 1990",1.6818
"January 31, 1990",1.6794
"February 1, 1990",1.6815
"February 2, 1990",1.6817
"February 5, 1990",1.695
"February 6, 1990",1.702
"February 7, 1990",1.699
"February 8, 1990",1.687
"February 9, 1990",1.6925
"February 12, 1990",1.695
"February 13, 1990",1.6905
"February 14, 1990",1.696
"February 15, 1990",1.693
"February 16, 1990",1.6955
"February 20, 1990",1.704
"February 21, 1990",1.715
"February 22, 1990",1.7147
"February 23, 1990",1.71
"February 26, 1990",1.693
"February 27, 1990",1.692
"February 28, 1990",1.6892
"March 1, 1990",1.665
"March 2, 1990",1.651
"March 5, 1990",1.6388
"March 6, 1990",1.649
"March 7, 1990",1.639
"March 8, 1990",1.6425
"March 9, 1990",1.6181
"March 12, 1990",1.6103
"March 13, 1990",1.6003
"March 14, 1990",1.609
"March 15, 1990",1.6175
"March 16, 1990",1.6235
"March 19, 1990",1.6103
"March 20, 1990",1.6105
"March 21, 1990",1.5945
"March 22, 1990",1.601
"March 23, 1990",1.604
"March 26, 1990",1.618
"March 27, 1990",1.6261
"March 28, 1990",1.6275
"March 29, 1990",1.634
"March 30, 1990",1.648
"April 2, 1990",1.6315
"April 3, 1990",1.6355
"April 4, 1990",1.6415
"April 5, 1990",1.6415
"April 6, 1990",1.6385
"April 9, 1990",1.6385
"April 10, 1990",1.6343
"April 11, 1990",1.6425
"April 12, 1990",1.642
"April 13, 1990",1.6385
"April 16, 1990",1.631
"April 17, 1990",1.6338
"April 18, 1990",1.638
"April 19, 1990",1.6435
"April 20, 1990",1.6353
"April 23, 1990",1.6357
"April 24, 1990",1.6341
"April 25, 1990",1.637
"April 26, 1990",1.6335
"April 27, 1990",1.636
"April 30, 1990",1.6389
"May 1, 1990",1.6405
"May 2, 1990",1.643
"May 3, 1990",1.6422
"May 4, 1990",1.66
"May 7, 1990",1.668
"May 8, 1990",1.6695
"May 9, 1990",1.678
"May 10, 1990",1.6763
"May 11, 1990",1.6813
"May 14, 1990",1.684
"May 15, 1990",1.677
"May 16, 1990",1.68
"May 17, 1990",1.6917
"May 18, 1990",1.6908
"May 21, 1990",1.6912
"May 22, 1990",1.6915
"May 23, 1990",1.694
"May 24, 1990",1.6895
"May 25, 1990",1.6892
"May 29, 1990",1.6946
"May 30, 1990",1.693
"May 31, 1990",1.6765
"June 1, 1990",1.6838
"June 4, 1990",1.675
"June 5, 1990",1.683
"June 6, 1990",1.6882
"June 7, 1990",1.6883
"June 8, 1990",1.6848
"June 11, 1990",1.6858
"June 12, 1990",1.7025
"June 13, 1990",1.707
"June 14, 1990",1.7052
"June 15, 1990",1.7055
"June 18, 1990",1.713
"June 19, 1990",1.7205
"June 20, 1990",1.723
"June 21, 1990",1.725
"June 22, 1990",1.733
"June 25, 1990",1.7305
"June 26, 1990",1.7355
"June 27, 1990",1.7428
"June 28, 1990",1.7393
"June 29, 1990",1.745
"July 2, 1990",1.7634
"July 3, 1990",1.7795
"July 5, 1990",1.7805
"July 6, 1990",1.7865
"July 9, 1990",1.8058
"July 10, 1990",1.815
"July 11, 1990",1.798
"July 12, 1990",1.7985
"July 13, 1990",1.806
"July 16, 1990",1.804
"July 17, 1990",1.8112
"July 18, 1990",1.8205
"July 19, 1990",1.8146
"July 20, 1990",1.8143
"July 23, 1990",1.8205
"July 24, 1990",1.8248
"July 25, 1990",1.812
"July 26, 1990",1.8135
"July 27, 1990",1.8335
"July 30, 1990",1.8438
"July 31, 1990",1.86
"August 1, 1990",1.855
"August 2, 1990",1.8492
"August 3, 1990",1.8565
"August 6, 1990",1.872
"August 7, 1990",1.877
"August 8, 1990",1.8655
"August 9, 1990",1.8717
"August 10, 1990",1.8713
"August 13, 1990",1.884
"August 14, 1990",1.8925
"August 15, 1990",1.8998
"August 16, 1990",1.898
"August 17, 1990",1.919
"August 20, 1990",1.9198
"August 21, 1990",1.921
"August 22, 1990",1.9275
"August 23, 1990",1.9515
"August 24, 1990",1.9453
"August 27, 1990",1.9443
"August 28, 1990",1.9483
"August 29, 1990",1.9465
"August 30, 1990",1.9225
"August 31, 1990",1.892
"September 4, 1990",1.8758
"September 5, 1990",1.899
"September 6, 1990",1.908
"September 7, 1990",1.894
"September 10, 1990",1.8555
"September 11, 1990",1.8485
"September 12, 1990",1.864
"September 13, 1990",1.8767
"September 14, 1990",1.8985
"September 17, 1990",1.9025
"September 18, 1990",1.918
"September 19, 1990",1.8847
"September 20, 1990",1.8683
"September 21, 1990",1.846
"September 24, 1990",1.884
"September 25, 1990",1.8768
"September 26, 1990",1.864
"September 27, 1990",1.871
"September 28, 1990",1.8735
"October 1, 1990",1.889
"October 2, 1990",1.8885
"October 3, 1990",1.898
"October 4, 1990",1.9118
"October 5, 1990",1.9465
"October 9, 1990",1.97
"October 10, 1990",1.9675
"October 11, 1990",1.964
"October 12, 1990",1.9732
"October 15, 1990",1.9535
"October 16, 1990",1.957
"October 17, 1990",1.965
"October 18, 1990",1.9535
"October 19, 1990",1.9595
"October 22, 1990",1.948
"October 23, 1990",1.9464
"October 24, 1990",1.9565
